CONTAMINACIÓN DEL RÍO,MALA DISPOSICIÓN DE RESIDUOS,4
CONTAMINACIÓN DEL RÍO,LAVAR EN EL RÍO,1
CONTAMINACIÓN DEL RÍO,INUNDACIONES,3
CONTAMINACIÓN DEL RÍO,DERRUMBRES,0
CONTAMINACIÓN DEL RÍO,FALTA DE EMPLEO,0
CONTAMINACIÓN DEL RÍO,ESCASEZ DE ALIMENTOS,0
CONTAMINACIÓN DEL RÍO,BRUJERÍA,0
CONTAMINACIÓN DEL RÍO,INFIDELIDAD,0
CONTAMINACIÓN DEL RÍO,FALTA DE ORGANIZACIÓN ,0
CONTAMINACIÓN DEL RÍO,BASURA,2
CONTAMINACIÓN DEL RÍO,FALTA DE AGUA POTABLE,4
CONTAMINACIÓN DEL RÍO,MUCHAS MOSCAS,1
CONTAMINACIÓN DEL RÍO,DAÑOS A CULTIVOS,2
CONTAMINACIÓN DEL RÍO,INVASIÓN DE TIERRA,0
CONTAMINACIÓN DEL RÍO,MALTRATO,0
CONTAMINACIÓN DEL RÍO,ALCOHOLISMO EN LOS HOMBRES,0
CONTAMINACIÓN DEL RÍO,CONFLICTO,0
CONTAMINACIÓN DEL RÍO,EDUCACIÓN,0
CONTAMINACIÓN DEL RÍO,MAESTROS,0
CONTAMINACIÓN DEL RÍO,LODO POR LLUVIA,0
CONTAMINACIÓN DEL RÍO,MUCHAS LLUVIAS,2
CONTAMINACIÓN DEL RÍO,PROBLEMAS DE SALUD,1
CONTAMINACIÓN DEL RÍO,ENFERMEDADES,1
CONTAMINACIÓN DEL RÍO,FALTA DE LETRINAS,3
CONTAMINACIÓN DEL RÍO,FALTA DE CANCHA,0
CONTAMINACIÓN DEL RÍO,MUCHO SOL,0
CONTAMINACIÓN DEL RÍO,ANIMALES EN DESCOMPOSICIÓN,1
CONTAMINACIÓN DEL RÍO,MAL HIGIENE,1
CONTAMINACIÓN DEL RÍO,AGUA CONTAMINADA,0
CONTAMINACIÓN DEL RÍO,DEMASIADO PERROS,0
CONTAMINACIÓN DEL RÍO,PLAGAS,0
CONTAMINACIÓN DEL RÍO,FALTA DE TRANSPORTE,1
CONTAMINACIÓN DEL RÍO,BAJO PRECIO DE CACAO,0
CONTAMINACIÓN DEL RÍO,MALA ECONOMIA,0
CONTAMINACIÓN DEL RÍO,LETRINAS EN MAL ESTADO,0
CONTAMINACIÓN DEL RÍO,MALA REPARTICIÓN DE BIENES ,0
CONTAMINACIÓN DEL RÍO,MALA COMPRENSIÓN,0
CONTAMINACIÓN DEL RÍO,MAL USO DEL MOTO,0
CONTAMINACIÓN DEL RÍO,VENTE DE MOTOR DE LA COMUNIDAD,0
CONTAMINACIÓN DEL RÍO,FALTA DE CENTRO DE SALUD,0
CONTAMINACIÓN DEL RÍO,FALTA DE ALCANTARILLADO,0
CONTAMINACIÓN DEL RÍO,FALTA DE MEDICINA,0
CONTAMINACIÓN DEL RÍO,ENERGÍA INTERMITENTE,2
CONTAMINACIÓN DEL RÍO,DROGAS,0
CONTAMINACIÓN DEL RÍO,FALTA DE DISPENSARIO,0
CONTAMINACIÓN DEL RÍO,VERANOS,0
CONTAMINACIÓN DEL RÍO,PROBLEMAS DE TIERRA,0
CONTAMINACIÓN DEL RÍO,JOVENES MAL EDUCADOS,0
CONTAMINACIÓN DEL RÍO,FALTA DE ESCALERAS,0
CONTAMINACIÓN DEL RÍO,FALTA DE CARRETERA,0
CONTAMINACIÓN DEL RÍO,FALTA DE TELECOMUNICACIONES,0
CONTAMINACIÓN DEL RÍO,FALTA DE CENTRO DE COMPUTO,0
CONTAMINACIÓN DEL RÍO,PROBLEMAS SOCIALES,0
CONTAMINACIÓN DEL RÍO,ARREGLAR LOS CALLES,0
CONTAMINACIÓN DEL RÍO,INESTABILIDAD,0
CONTAMINACIÓN DEL RÍO,POCA COMUNICACIÓN,0
CONTAMINACIÓN DEL RÍO,ELABORACION DE CALLES,0
CONTAMINACIÓN DEL RÍO,ARREGLAR EL AGUA POTABLE,0
CONTAMINACIÓN DEL RÍO,DAÑOS A ELECTRODOMÉSTICOS,1
CONTAMINACIÓN DEL RÍO,AGUAS ESTANCADAS,1
CONTAMINACIÓN DEL RÍO,FALTA DE FUENTES ALTERNATIVAS DE AGUA,1
CONTAMINACIÓN DEL RÍO,SISTEMA DE AGUA DAÑADO,2
CONTAMINACIÓN DEL RÍO,FALTA DE DINERO,1
CONTAMINACIÓN DEL RÍO,VARIABILIDAD DE ESTACIONES,1
CONTAMINACIÓN DEL RÍO,DEFORESTACIÓN,1
CONTAMINACIÓN DEL RÍO,MINERÍA,1
CONTAMINACIÓN DEL RÍO,USO DE DINAMITA,1
CONTAMINACIÓN DEL RÍO,CONTAMINACIÓN AMBIENTAL,1
CONTAMINACIÓN DEL RÍO,HUIDA DE ESPECIES,1
CONTAMINACIÓN DEL RÍO,QUITAN FUENTES DE ORIGENO,1
CONTAMINACIÓN DEL RÍO,DIVISIÓN DE COMUNIDADES,1
CONTAMINACIÓN DEL RÍO,INVIERNO,0
CONTAMINACIÓN DEL RÍO,CRECIMIENTO DEL RÍO,0
CONTAMINACIÓN DEL RÍO,FALTA DE IGLESIA,0
CONTAMINACIÓN DEL RÍO,FALTA DE CALLE PARA CEMETARIO,0
CONTAMINACIÓN DEL RÍO,EL TRABAJO ES DURO,0
